edge_case,strategy,episode,total_interest,months,avg_utilization,all_paid,credit_proxy_score
single_card,MinimumOnly,0,146.99,3,0.16,True,823.6
single_card,Snowball,0,146.99,3,0.16,True,823.6
single_card,Avalanche,0,146.99,3,0.16,True,823.6
single_card,NormalizedAvalanche,0,146.99,3,0.16,True,823.6
single_card,MinimumOnly,1,146.99,3,0.16,True,823.6
single_card,Snowball,1,146.99,3,0.16,True,823.6
single_card,Avalanche,1,146.99,3,0.16,True,823.6
single_card,NormalizedAvalanche,1,146.99,3,0.16,True,823.6
single_card,MinimumOnly,2,146.99,3,0.16,True,823.6
single_card,Snowball,2,146.99,3,0.16,True,823.6
single_card,Avalanche,2,146.99,3,0.16,True,823.6
single_card,NormalizedAvalanche,2,146.99,3,0.16,True,823.6
single_card,MinimumOnly,3,146.99,3,0.16,True,823.6
single_card,Snowball,3,146.99,3,0.16,True,823.6
single_card,Avalanche,3,146.99,3,0.16,True,823.6
single_card,NormalizedAvalanche,3,146.99,3,0.16,True,823.6
single_card,MinimumOnly,4,146.99,3,0.16,True,823.6
single_card,Snowball,4,146.99,3,0.16,True,823.6
single_card,Avalanche,4,146.99,3,0.16,True,823.6
single_card,NormalizedAvalanche,4,146.99,3,0.16,True,823.6
single_card,MinimumOnly,5,146.99,3,0.16,True,823.6
single_card,Snowball,5,146.99,3,0.16,True,823.6
single_card,Avalanche,5,146.99,3,0.16,True,823.6
single_card,NormalizedAvalanche,5,146.99,3,0.16,True,823.6
single_card,MinimumOnly,6,146.99,3,0.16,True,823.6
single_card,Snowball,6,146.99,3,0.16,True,823.6
single_card,Avalanche,6,146.99,3,0.16,True,823.6
single_card,NormalizedAvalanche,6,146.99,3,0.16,True,823.6
single_card,MinimumOnly,7,146.99,3,0.16,True,823.6
single_card,Snowball,7,146.99,3,0.16,True,823.6
single_card,Avalanche,7,146.99,3,0.16,True,823.6
single_card,NormalizedAvalanche,7,146.99,3,0.16,True,823.6
single_card,MinimumOnly,8,146.99,3,0.16,True,823.6
single_card,Snowball,8,146.99,3,0.16,True,823.6
single_card,Avalanche,8,146.99,3,0.16,True,823.6
single_card,NormalizedAvalanche,8,146.99,3,0.16,True,823.6
single_card,MinimumOnly,9,146.99,3,0.16,True,823.6
single_card,Snowball,9,146.99,3,0.16,True,823.6
single_card,Avalanche,9,146.99,3,0.16,True,823.6
single_card,NormalizedAvalanche,9,146.99,3,0.16,True,823.6
same_apr,PPO,0,744.31,8,0.1959,True,817.7
same_apr,MinimumOnly,0,752.08,8,0.1986,True,817.2
same_apr,Snowball,0,793.01,8,0.2129,True,814.9
same_apr,Avalanche,0,793.01,8,0.2129,True,814.9
same_apr,NormalizedAvalanche,0,738.8,8,0.194,True,818.0
same_apr,PPO,1,744.31,8,0.1959,True,817.7
same_apr,MinimumOnly,1,752.08,8,0.1986,True,817.2
same_apr,Snowball,1,793.01,8,0.2129,True,814.9
same_apr,Avalanche,1,793.01,8,0.2129,True,814.9
same_apr,NormalizedAvalanche,1,738.8,8,0.194,True,818.0
same_apr,PPO,2,744.31,8,0.1959,True,817.7
same_apr,MinimumOnly,2,752.08,8,0.1986,True,817.2
same_apr,Snowball,2,793.01,8,0.2129,True,814.9
same_apr,Avalanche,2,793.01,8,0.2129,True,814.9
same_apr,NormalizedAvalanche,2,738.8,8,0.194,True,818.0
same_apr,PPO,3,744.31,8,0.1959,True,817.7
same_apr,MinimumOnly,3,752.08,8,0.1986,True,817.2
same_apr,Snowball,3,793.01,8,0.2129,True,814.9
same_apr,Avalanche,3,793.01,8,0.2129,True,814.9
same_apr,NormalizedAvalanche,3,738.8,8,0.194,True,818.0
same_apr,PPO,4,744.31,8,0.1959,True,817.7
same_apr,MinimumOnly,4,752.08,8,0.1986,True,817.2
same_apr,Snowball,4,793.01,8,0.2129,True,814.9
same_apr,Avalanche,4,793.01,8,0.2129,True,814.9
same_apr,NormalizedAvalanche,4,738.8,8,0.194,True,818.0
same_apr,PPO,5,744.31,8,0.1959,True,817.7
same_apr,MinimumOnly,5,752.08,8,0.1986,True,817.2
same_apr,Snowball,5,793.01,8,0.2129,True,814.9
same_apr,Avalanche,5,793.01,8,0.2129,True,814.9
same_apr,NormalizedAvalanche,5,738.8,8,0.194,True,818.0
same_apr,PPO,6,744.31,8,0.1959,True,817.7
same_apr,MinimumOnly,6,752.08,8,0.1986,True,817.2
same_apr,Snowball,6,793.01,8,0.2129,True,814.9
same_apr,Avalanche,6,793.01,8,0.2129,True,814.9
same_apr,NormalizedAvalanche,6,738.8,8,0.194,True,818.0
same_apr,PPO,7,744.31,8,0.1959,True,817.7
same_apr,MinimumOnly,7,752.08,8,0.1986,True,817.2
same_apr,Snowball,7,793.01,8,0.2129,True,814.9
same_apr,Avalanche,7,793.01,8,0.2129,True,814.9
same_apr,NormalizedAvalanche,7,738.8,8,0.194,True,818.0
same_apr,PPO,8,744.31,8,0.1959,True,817.7
same_apr,MinimumOnly,8,752.08,8,0.1986,True,817.2
same_apr,Snowball,8,793.01,8,0.2129,True,814.9
same_apr,Avalanche,8,793.01,8,0.2129,True,814.9
same_apr,NormalizedAvalanche,8,738.8,8,0.194,True,818.0
same_apr,PPO,9,744.31,8,0.1959,True,817.7
same_apr,MinimumOnly,9,752.08,8,0.1986,True,817.2
same_apr,Snowball,9,793.01,8,0.2129,True,814.9
same_apr,Avalanche,9,793.01,8,0.2129,True,814.9
same_apr,NormalizedAvalanche,9,738.8,8,0.194,True,818.0
zero_pct_intro,PPO,0,402.01,8,0.1947,True,817.9
zero_pct_intro,MinimumOnly,0,565.71,8,0.1899,True,818.7
zero_pct_intro,Snowball,0,814.02,9,0.2006,True,816.9
zero_pct_intro,Avalanche,0,420.38,9,0.1987,True,817.2
zero_pct_intro,NormalizedAvalanche,0,514.44,8,0.1947,True,817.9
zero_pct_intro,PPO,1,402.01,8,0.1947,True,817.9
zero_pct_intro,MinimumOnly,1,565.71,8,0.1899,True,818.7
zero_pct_intro,Snowball,1,814.02,9,0.2006,True,816.9
zero_pct_intro,Avalanche,1,420.38,9,0.1987,True,817.2
zero_pct_intro,NormalizedAvalanche,1,514.44,8,0.1947,True,817.9
zero_pct_intro,PPO,2,402.01,8,0.1947,True,817.9
zero_pct_intro,MinimumOnly,2,565.71,8,0.1899,True,818.7
zero_pct_intro,Snowball,2,814.02,9,0.2006,True,816.9
zero_pct_intro,Avalanche,2,420.38,9,0.1987,True,817.2
zero_pct_intro,NormalizedAvalanche,2,514.44,8,0.1947,True,817.9
zero_pct_intro,PPO,3,402.01,8,0.1947,True,817.9
zero_pct_intro,MinimumOnly,3,565.71,8,0.1899,True,818.7
zero_pct_intro,Snowball,3,814.02,9,0.2006,True,816.9
zero_pct_intro,Avalanche,3,420.38,9,0.1987,True,817.2
zero_pct_intro,NormalizedAvalanche,3,514.44,8,0.1947,True,817.9
zero_pct_intro,PPO,4,402.01,8,0.1947,True,817.9
zero_pct_intro,MinimumOnly,4,565.71,8,0.1899,True,818.7
zero_pct_intro,Snowball,4,814.02,9,0.2006,True,816.9
zero_pct_intro,Avalanche,4,420.38,9,0.1987,True,817.2
zero_pct_intro,NormalizedAvalanche,4,514.44,8,0.1947,True,817.9
zero_pct_intro,PPO,5,402.01,8,0.1947,True,817.9
zero_pct_intro,MinimumOnly,5,565.71,8,0.1899,True,818.7
zero_pct_intro,Snowball,5,814.02,9,0.2006,True,816.9
zero_pct_intro,Avalanche,5,420.38,9,0.1987,True,817.2
zero_pct_intro,NormalizedAvalanche,5,514.44,8,0.1947,True,817.9
zero_pct_intro,PPO,6,402.01,8,0.1947,True,817.9
zero_pct_intro,MinimumOnly,6,565.71,8,0.1899,True,818.7
zero_pct_intro,Snowball,6,814.02,9,0.2006,True,816.9
zero_pct_intro,Avalanche,6,420.38,9,0.1987,True,817.2
zero_pct_intro,NormalizedAvalanche,6,514.44,8,0.1947,True,817.9
zero_pct_intro,PPO,7,402.01,8,0.1947,True,817.9
zero_pct_intro,MinimumOnly,7,565.71,8,0.1899,True,818.7
zero_pct_intro,Snowball,7,814.02,9,0.2006,True,816.9
zero_pct_intro,Avalanche,7,420.38,9,0.1987,True,817.2
zero_pct_intro,NormalizedAvalanche,7,514.44,8,0.1947,True,817.9
zero_pct_intro,PPO,8,402.01,8,0.1947,True,817.9
zero_pct_intro,MinimumOnly,8,565.71,8,0.1899,True,818.7
zero_pct_intro,Snowball,8,814.02,9,0.2006,True,816.9
zero_pct_intro,Avalanche,8,420.38,9,0.1987,True,817.2
zero_pct_intro,NormalizedAvalanche,8,514.44,8,0.1947,True,817.9
zero_pct_intro,PPO,9,402.01,8,0.1947,True,817.9
zero_pct_intro,MinimumOnly,9,565.71,8,0.1899,True,818.7
zero_pct_intro,Snowball,9,814.02,9,0.2006,True,816.9
zero_pct_intro,Avalanche,9,420.38,9,0.1987,True,817.2
zero_pct_intro,NormalizedAvalanche,9,514.44,8,0.1947,True,817.9
income_shock,PPO,0,605.08,9,0.1481,True,825.6
income_shock,MinimumOnly,0,596.68,8,0.1613,True,823.4
income_shock,Snowball,0,622.04,8,0.1672,True,822.4
income_shock,Avalanche,0,629.8,10,0.1468,True,825.8
income_shock,NormalizedAvalanche,0,582.05,6,0.2079,True,815.7
income_shock,PPO,1,605.08,9,0.1481,True,825.6
income_shock,MinimumOnly,1,596.68,8,0.1613,True,823.4
income_shock,Snowball,1,622.04,8,0.1672,True,822.4
income_shock,Avalanche,1,629.8,10,0.1468,True,825.8
income_shock,NormalizedAvalanche,1,582.05,6,0.2079,True,815.7
income_shock,PPO,2,605.08,9,0.1481,True,825.6
income_shock,MinimumOnly,2,596.68,8,0.1613,True,823.4
income_shock,Snowball,2,622.04,8,0.1672,True,822.4
income_shock,Avalanche,2,629.8,10,0.1468,True,825.8
income_shock,NormalizedAvalanche,2,582.05,6,0.2079,True,815.7
income_shock,PPO,3,605.08,9,0.1481,True,825.6
income_shock,MinimumOnly,3,596.68,8,0.1613,True,823.4
income_shock,Snowball,3,622.04,8,0.1672,True,822.4
income_shock,Avalanche,3,629.8,10,0.1468,True,825.8
income_shock,NormalizedAvalanche,3,582.05,6,0.2079,True,815.7
income_shock,PPO,4,605.08,9,0.1481,True,825.6
income_shock,MinimumOnly,4,596.68,8,0.1613,True,823.4
income_shock,Snowball,4,622.04,8,0.1672,True,822.4
income_shock,Avalanche,4,629.8,10,0.1468,True,825.8
income_shock,NormalizedAvalanche,4,582.05,6,0.2079,True,815.7
income_shock,PPO,5,605.08,9,0.1481,True,825.6
income_shock,MinimumOnly,5,596.68,8,0.1613,True,823.4
income_shock,Snowball,5,622.04,8,0.1672,True,822.4
income_shock,Avalanche,5,629.8,10,0.1468,True,825.8
income_shock,NormalizedAvalanche,5,582.05,6,0.2079,True,815.7
income_shock,PPO,6,605.08,9,0.1481,True,825.6
income_shock,MinimumOnly,6,596.68,8,0.1613,True,823.4
income_shock,Snowball,6,622.04,8,0.1672,True,822.4
income_shock,Avalanche,6,629.8,10,0.1468,True,825.8
income_shock,NormalizedAvalanche,6,582.05,6,0.2079,True,815.7
income_shock,PPO,7,605.08,9,0.1481,True,825.6
income_shock,MinimumOnly,7,596.68,8,0.1613,True,823.4
income_shock,Snowball,7,622.04,8,0.1672,True,822.4
income_shock,Avalanche,7,629.8,10,0.1468,True,825.8
income_shock,NormalizedAvalanche,7,582.05,6,0.2079,True,815.7
income_shock,PPO,8,605.08,9,0.1481,True,825.6
income_shock,MinimumOnly,8,596.68,8,0.1613,True,823.4
income_shock,Snowball,8,622.04,8,0.1672,True,822.4
income_shock,Avalanche,8,629.8,10,0.1468,True,825.8
income_shock,NormalizedAvalanche,8,582.05,6,0.2079,True,815.7
income_shock,PPO,9,605.08,9,0.1481,True,825.6
income_shock,MinimumOnly,9,596.68,8,0.1613,True,823.4
income_shock,Snowball,9,622.04,8,0.1672,True,822.4
income_shock,Avalanche,9,629.8,10,0.1468,True,825.8
income_shock,NormalizedAvalanche,9,582.05,6,0.2079,True,815.7
